"species","filter","methodPA","nPA","initial","cleaned","x","y","min_geom","AUC","TSS","OUC","boyce","COI"
"Juniperuspho","country","random","Npresences",-0.639793902568638,-0.731195526293704,-0.792004325846457,-0.952494328070166,-0.469029266369179,0.935546666666667,0.799783333333333,0.0395503692485577,0.817470664928292,0.877767140152928
"Juniperuspho","pixel","disk","1000",-0.639793902568638,-0.731195526293704,-0.792004325846457,-0.952494328070166,-0.469029266369179,0.982265217391304,0.950214046822742,0.0319833595902827,0.620599739243807,0.861620733830814
"Juniperuspho","pixel","disk","Npresences",-0.639793902568638,-0.731195526293704,-0.792004325846457,-0.952494328070166,-0.469029266369179,0.979340501792115,0.943222222222222,0.0329943700890704,0.597131681877445,0.858733593708485
"Juniperuspho","pixel","random","1000",-0.639793902568638,-0.731195526293704,-0.792004325846457,-0.952494328070166,-0.469029266369179,0.941828571428571,0.824132142857143,0.0367276836797908,0.767275097783572,0.86099293756706
"Juniperuspho","pixel","random","Npresences",-0.639793902568638,-0.731195526293704,-0.792004325846457,-0.952494328070166,-0.469029266369179,0.943606498194946,0.827292418772563,0.0310881917762581,0.77509778357236,0.866564576422806
"Laurusnobili","control","disk","1000",-0.717036105701291,-0.502373749499858,0.107130309445217,-0.113647783728653,-0.453448894330176,0.996597272727273,0.985181363636364,0.0293547431809051,0.461538461538462,0.740554211931367
"Laurusnobili","control","disk","Npresences",-0.717036105701291,-0.502373749499858,0.107130309445217,-0.113647783728653,-0.453448894330176,0.986327037037037,0.964355555555556,0.0401616462726201,0.625814863102999,0.739931700556202
"Laurusnobili","control","random","1000",-0.717036105701291,-0.502373749499858,0.107130309445217,-0.113647783728653,-0.453448894330176,0.945544303797468,0.809793670886076,0.0360626769894402,0.6877444589309,0.771137604792738
"Laurusnobili","control","random","Npresences",-0.717036105701291,-0.502373749499858,0.107130309445217,-0.113647783728653,-0.453448894330176,0.932024822695035,0.792765957446808,0.0534800165925048,0.71251629726206,0.771240816981882
"Laurusnobili","country","disk","1000",-0.717036105701291,-0.502373749499858,0.107130309445217,-0.113647783728653,-0.453448894330176,0.997294583333333,0.985661666666667,0.0382302090285437,0.575619295958279,0.747514528157986
"Laurusnobili","country","disk","Npresences",-0.717036105701291,-0.502373749499858,0.107130309445217,-0.113647783728653,-0.453448894330176,0.982545333333333,0.957595333333333,0.0533081034353235,0.573011734028683,0.743830803606141
"Laurusnobili","country","random","1000",-0.717036105701291,-0.502373749499858,0.107130309445217,-0.113647783728653,-0.453448894330176,0.907588,0.693076,0.0455374436437315,0.69361147327249,0.779145240830847
"Laurusnobili","country","random","Npresences",-0.717036105701291,-0.502373749499858,0.107130309445217,-0.113647783728653,-0.453448894330176,0.898913793103448,0.683355172413793,0.0681763051627296,0.758148631029987,0.777082503444757
"Laurusnobili","pixel","disk","1000",-0.717036105701291,-0.502373749499858,0.107130309445217,-0.113647783728653,-0.453448894330176,0.994672083333333,0.980175,0.0292442897939764,0.513037809647979,0.749189246635814
"Laurusnobili","pixel","disk","Npresences",-0.717036105701291,-0.502373749499858,0.107130309445217,-0.113647783728653,-0.453448894330176,0.983660677966102,0.95853220338983,0.0388167714948606,0.473924380704042,0.750463507937121
"Laurusnobili","pixel","random","1000",-0.717036105701291,-0.502373749499858,0.107130309445217,-0.113647783728653,-0.453448894330176,0.933984,0.772428,0.0402065026505547,0.593220338983051,0.781080564747686
"Laurusnobili","pixel","random","Npresences",-0.717036105701291,-0.502373749499858,0.107130309445217,-0.113647783728653,-0.453448894330176,0.920966666666667,0.75751,0.0367532147978142,0.736636245110821,0.793917799526179
"Morusnigra","control","disk","1000",-0.888581822459675,-0.802328050459245,1.11710009594777,0.138691779052783,0.0546999368501506,0.957454225352113,0.861647887323944,0.194747938729672,0.458930899608866,NA
"Morusnigra","control","disk","Npresences",-0.888581822459675,-0.802328050459245,1.11710009594777,0.138691779052783,0.0546999368501506,0.956625,0.862397727272727,0.233331663921209,0.477183833116036,NA
